container,entry,has_cyrillic,has_ru_ru_path,hint_match,sample
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,assets/accessories/lang/en_us.json,False,False,True,"{ ""accessories.slot.tooltip.singular"": ""Slot: "", ""accessories.slot.tooltip.plural"": ""Slots: "", ""accessories.cosmetic_slot.tooltip.singular"": ""Cosmetic Slot: "", ""accessories.cosmetic_slot.tooltip.plural"": ""Cosmetic Slots: "", ""accessories.slot.any"": ""Any"", ""acce"
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,assets/accessories/lang/es_mx.json,False,False,True,"{ ""accessories.slot.tooltip.singular"": ""Ranura: "", ""accessories.slot.tooltip.plural"": ""Ranuras: "", ""accessories.cosmetic_slot.tooltip.singular"": ""Ranura Cosmética: "", ""accessories.cosmetic_slot.tooltip.plural"": ""Ranuras Cosméticas: "", ""accessories.slot.any"": """
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,assets/accessories/lang/ru_ru.json,True,True,True,"{ ""accessories.slot.tooltip.singular"": ""Слот: "", ""accessories.slot.tooltip.plural"": ""Слоты: "", ""accessories.cosmetic_slot.tooltip.singular"": ""Косметический слот: "", ""accessories.cosmetic_slot.tooltip.plural"": ""Косметические слоты: "", ""accessories.slot.any"": ""Л"
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,assets/accessories/lang/tr_tr.json,False,False,True,"{ ""accessories.slot.tooltip.singular"": ""Yuva: "", ""accessories.slot.tooltip.plural"": ""Yuvalar: "", ""accessories.cosmetic_slot.tooltip.singular"": ""Kozmetik Yuvası: "", ""accessories.cosmetic_slot.tooltip.plural"": ""Kozmetik Yuvaları: "", ""accessories.slot.any"": ""Herh"
cobblemon-extra\mods\accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,assets/accessories/lang/zh_tw.json,False,False,True,"{ ""accessories.slot.tooltip.singular"": ""飾品欄："", ""accessories.slot.tooltip.plural"": ""飾品欄："", ""accessories.cosmetic_slot.tooltip.singular"": ""裝飾欄："", ""accessories.cosmetic_slot.tooltip.plural"": ""裝飾欄："", ""accessories.slot.any"": ""任何"", ""accessories.slot.except"": "" 除了 "","
cobblemon-extra\mods\accessories_compat_layer-fabric-0.1.12+1.21.1.jar,assets/accessories_compat_layer/lang/en_us.json,False,False,True,"{ ""accessories.slot.pocket"": ""Pocket"", ""text.config.accessories_compat.title"": ""Accessories Compat Config"", ""text.config.accessories_compat.option.slotIdRedirects"": ""Slot Id Redirects"", ""text.config.accessories_compat.option.slotIdRedirects.tooltip"": ""Useful w"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/de_de.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Find ein Artefakt"", ""artifacts.advancements.amateur_archaeologist.title"": ""Amateurarchäologe"", ""artifacts.advancements.chest_slayer.description"": ""Töt ein Mimic"", ""artifacts.advancements.chest_slay"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/en_pt.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Feast on an Arrrtifact"", ""artifacts.advancements.adventurous_eater.title"": ""Bold Eater"", ""artifacts.advancements.amateur_archaeologist.description"": ""Find yer first Arrrtifact"", ""artifacts.advancements"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/en_us.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Eat an Artifact"", ""artifacts.advancements.adventurous_eater.title"": ""Adventurous Eater"", ""artifacts.advancements.amateur_archaeologist.description"": ""Find an Artifact"", ""artifacts.advancements.amateur_"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/es_ar.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Encuentra un artefacto"", ""artifacts.advancements.amateur_archaeologist.title"": ""Arqueólogo Amateur"", ""artifacts.advancements.chest_slayer.description"": ""Mata a un Mimic"", ""artifacts.advancements.ch"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/es_cl.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Encuentra un artefacto"", ""artifacts.advancements.amateur_archaeologist.title"": ""Arqueólogo Amateur"", ""artifacts.advancements.chest_slayer.description"": ""Mata a un Mimic"", ""artifacts.advancements.ch"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/es_ec.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Encuentra un artefacto"", ""artifacts.advancements.amateur_archaeologist.title"": ""Arqueólogo Amateur"", ""artifacts.advancements.chest_slayer.description"": ""Mata a un Mimic"", ""artifacts.advancements.ch"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/es_es.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Come un artefacto"", ""artifacts.advancements.adventurous_eater.title"": ""Comedor Aventurero"", ""artifacts.advancements.amateur_archaeologist.description"": ""Encuentra un artefacto"", ""artifacts.advancements"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/es_mx.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Come un Artefacto"", ""artifacts.advancements.adventurous_eater.title"": ""Comensal Aventurero"", ""artifacts.advancements.amateur_archaeologist.description"": ""Encuentra un Artefacto"", ""artifacts.advancement"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/fr_fr.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Trouver un artéfact"", ""artifacts.advancements.amateur_archaeologist.title"": ""Archéologue amateur"", ""artifacts.advancements.chest_slayer.description"": ""Tuer un mimique"", ""artifacts.advancements.ches"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/it_it.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Trova un artefatto"", ""artifacts.advancements.amateur_archaeologist.title"": ""Archeologo amatoriale"", ""artifacts.advancements.chest_slayer.description"": ""Elimina un mimic"", ""artifacts.advancements.ch"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/ja_jp.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""アーティファクトを探す"", ""artifacts.advancements.amateur_archaeologist.title"": ""アマチュア考古学者"", ""artifacts.advancements.chest_slayer.description"": ""ミミックを倒す"", ""artifacts.advancements.chest_slayer.title"": ""チェストスレイヤ"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/ko_kr.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""아티팩트를 먹어보세요"", ""artifacts.advancements.adventurous_eater.title"": ""모험적인 미식가"", ""artifacts.advancements.amateur_archaeologist.description"": ""아티팩트를 찾아서"", ""artifacts.advancements.amateur_archaeologist.title"""
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/pl_pl.json,False,False,True,"{ ""artifacts.advancements.amateur_archaeologist.description"": ""Znajdź artefakt"", ""artifacts.advancements.amateur_archaeologist.title"": ""Archeolog Amator"", ""artifacts.advancements.chest_slayer.description"": ""Zabij Mimika"", ""artifacts.advancements.chest_slayer.t"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/pt_br.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Coma um Artefato"", ""artifacts.advancements.adventurous_eater.title"": ""Comedor Aventureiro"", ""artifacts.advancements.amateur_archaeologist.description"": ""Encontre um Artefato"", ""artifacts.advancements.a"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/ru_ru.json,True,True,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Съешьте артефакт."", ""artifacts.advancements.adventurous_eater.title"": ""Приключенец-поедатель"", ""artifacts.advancements.amateur_archaeologist.description"": ""Найдите артефакт."", ""artifacts.advancements.a"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/tr_tr.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""Bir Eser tüket"", ""artifacts.advancements.adventurous_eater.title"": ""Maceraperest Obur"", ""artifacts.advancements.amateur_archaeologist.description"": ""Bir Eser bul"", ""artifacts.advancements.amateur_archa"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/uk_ua.json,True,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""З'їжте артефакт"", ""artifacts.advancements.adventurous_eater.title"": ""Сміливий їдець"", ""artifacts.advancements.amateur_archaeologist.description"": ""Знайдіть артефакт"", ""artifacts.advancements.amateur_ar"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/zh_cn.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""吃掉一个饰品"", ""artifacts.advancements.adventurous_eater.title"": ""激进吃货"", ""artifacts.advancements.amateur_archaeologist.description"": ""找到一件饰品"", ""artifacts.advancements.amateur_archaeologist.title"": ""业余考古学家"", "
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,assets/artifacts/lang/zh_tw.json,False,False,True,"{ ""artifacts.advancements.adventurous_eater.description"": ""吃掉一個文物"", ""artifacts.advancements.adventurous_eater.title"": ""大膽的食客"", ""artifacts.advancements.amateur_archaeologist.description"": ""找到一件文物"", ""artifacts.advancements.amateur_archaeologist.title"": ""業餘考古學家"","
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/belt.json,False,False,True,"{ ""values"": [] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/curio.json,False,False,True,"{ ""values"": [ ""#artifacts:slot/all"", ""#artifacts:slot/head"", ""#artifacts:slot/face"", ""#artifacts:slot/necklace"", ""#artifacts:slot/hands"", ""#artifacts:slot/belt"", ""#artifacts:slot/feet"" ] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/feet.json,False,False,True,"{ ""values"": [] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/hands.json,False,False,True,"{ ""values"": [] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/head.json,False,False,True,"{ ""values"": [] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/curios/tags/item/necklace.json,False,False,True,"{ ""values"": [] }"
cobblemon-extra\mods\artifacts-fabric-13.2.0.jar,overlay_remove_slot_restrictions/data/trinkets/tags/item/all.json,False,False,True,"{ ""values"": [ ""#artifacts:slot/all"", ""#artifacts:slot/head"", ""#artifacts:slot/face"", ""#artifacts:slot/necklace"", ""#artifacts:slot/hands"", ""#artifacts:slot/belt"", ""#artifacts:slot/feet"" ] }"
